,SUBZONE_N,TAP_IN_TAP_OUT_VOLUME_WEEKLY,PEAK_HOUR_PERCENTAGE (%),WEEKDAY_PERCENTAGE (%),"('2020', 'Male Percentage')","('2020', '00 - 19')","('2020', '20 - 39')","('2020', '40 - 59')","('2020', '60 & Over')","('2020', 'Average Income')"
0,ALJUNIED,15454280.0,17.14591038857844,86.39583985795521,0.4936234058514629,6150,10720,12170,10940,11730.102219927725
1,ANAK BUKIT,4909818.0,16.671697403040195,86.53650705586234,0.4741655235482396,4280,5660,6190,5750,19739.484317343173
2,ANCHORVALE,4596871.0,14.678136497630673,88.28973012294668,0.4925187032418953,13550,14460,13710,6410,10559.805070656692
3,BEDOK NORTH,25472206.0,15.296299817927036,86.87390483572565,0.4850928641251222,13230,20760,24610,23260,8815.353974689766
4,BEDOK RESERVOIR,5012083.0,17.051134229022146,87.61068003063797,0.4899882214369847,5280,6820,7960,5420,12406.950806768991
5,BEDOK SOUTH,7837346.0,16.687205081924418,88.23484378512829,0.4826552462526766,7580,11490,13700,13930,14164.927630157701
6,BENCOOLEN,1975177.0,15.508331658377957,86.65527190727717,0.4732824427480916,160,330,430,410,8917.41935483871
7,BENDEMEER,8042753.0,17.148071064721247,87.65139250204503,0.485493745009316,6490,10320,10540,10210,9484.91264243082
8,BIDADARI,2620105.0,18.283618404605924,90.33340266897699,0.0,0,0,0,0,0.0
9,BOON KENG,3873243.0,16.790116189456743,85.09626171143924,0.4775233248515691,1770,2970,3450,3630,7840.828644501279
10,BOULEVARD,12109650.0,14.658912520180188,82.70317474080589,0.5121951219512195,70,90,110,120,20536.0
11,BRAS BASAH,2011812.0,18.586677085135197,88.5922740295813,0.0,0,0,0,0,0.0
12,BUKIT BATOK CENTRAL,11894570.0,17.72669377707643,88.0202899306154,0.4869915720043972,5370,7870,7780,6290,8909.228623853209
13,CHANGI AIRPORT,3297886.0,15.089423952192405,82.75968302118387,0.0,0,0,0,0,0.0
14,CHENG SAN,25063517.0,17.053867579717565,87.54387901745794,0.4800569800569801,4300,7190,8440,8150,6985.963532356096
15,CITY HALL,1534975.0,15.70266616720142,84.2137494095995,0.0,0,0,0,0,0.0
16,CLARKE QUAY,3524104.0,18.635715631547765,87.4193837639298,0.5833333333333334,30,40,50,10,20536.0
17,CLEMENTI NORTH,12356801.0,17.982146026305674,88.1012003025702,0.4651162790697674,4900,7370,8230,8320,7221.811797752809
18,COMMONWEALTH,4099868.0,18.56296349053189,88.31137978100759,0.4614285714285714,880,1540,2210,2390,4501.157593123209
19,COMPASSVALE,5804420.0,16.854104286044084,87.9639998483914,0.4852099236641221,5850,6360,6100,2660,11035.76110845676
20,CORONATION ROAD,2920730.0,15.381051997274652,91.35541457101479,0.4552238805970149,1730,1480,2030,1470,24074.20217729393
21,CRAWFORD,1899055.0,16.2142749946684,85.51358438802455,0.5525059665871122,920,1550,2440,3480,4839.634175691937
22,DAIRY FARM,690279.0,16.560550154357873,91.49633698837715,0.4827089337175792,1650,1820,2310,1160,22169.492063492067
23,FARRER COURT,1593866.0,16.572409474824106,88.72420893600841,0.4692556634304207,1600,1390,2030,1150,17857.414075286415
24,FARRER PARK,6427177.0,15.172882277864758,82.7845568902179,0.5075187969924813,410,650,840,750,8786.37751004016
25,FERNVALE,5177971.0,14.499714270319398,87.9127171627651,0.4907328685597687,16850,17760,16770,7430,10298.856310013718
26,GEYLANG BAHRU,3045428.0,17.379461934414472,87.96218462560927,0.49822695035461,1570,2550,3640,3530,6220.198037466548
27,GEYLANG EAST,10836003.0,16.08788775713702,85.82205080600292,0.4859625668449198,5190,7770,8830,8140,12781.507952622671
28,GUILIN,5980776.0,16.303185406040953,87.73468526492216,0.4860896445131376,2400,3490,4250,2800,12797.544881889764
29,HOLLAND ROAD,2347541.0,17.173714963870705,88.761815022613,0.4428044280442805,2810,2330,3600,2100,22701.691449814127
30,HOUGANG CENTRAL,12012163.0,16.534815586501786,87.4887395384162,0.4978813559322034,750,1390,1360,1220,13416.756410256408
31,JOO KOON,4906102.0,22.009367110590038,91.18542582278153,0.0,0,0,0,0,0.0
32,JOO SENG,3200929.0,25.59675644164553,92.05015169033742,0.4944785276073619,1480,2290,2410,1980,14246.559701492537
33,JURONG WEST CENTRAL,31799552.0,17.748658849030328,87.84428786921274,0.4989021329987453,14330,18090,20660,10700,10057.25470514429
34,KAKI BUKIT,8973201.0,20.328108107686433,89.1041000864686,0.4901749663526245,5960,10760,10410,10030,9338.80626857606
35,KALLANG BAHRU,2548562.0,21.996875100546895,89.75590941087563,0.0,0,0,0,0,0.0
36,KAMPONG UBI,5260516.0,22.143208004690038,90.37801614898615,0.4991525423728814,1940,3600,3310,2950,8345.979452054795
37,KEMBANGAN,6329211.0,17.70399185617291,87.41990115355611,0.492660795302909,6030,9950,10370,11120,13195.004369197159
38,KHATIB,10294742.0,17.402767354441714,88.10094512324835,0.4858536585365854,1470,2970,2990,2830,8457.788649706457
39,KOVAN,6983532.0,16.388168622983326,86.49620278105692,0.48225806451612896,4700,6760,7340,6010,21258.382700938397
40,LAVENDER,5636975.0,16.471458539376172,86.48690121918226,0.5237603305785123,1610,2320,3110,2650,10963.872570194384
41,LEEDON PARK,1873575.0,15.093817968322591,86.31279772627197,0.4596273291925466,1390,1470,2090,1500,24203.020217729394
42,LORONG CHUAN,1536667.0,19.76674191610805,90.41451400986679,0.4817432273262662,1730,2190,2630,1960,23290.42619047619
43,MACPHERSON,3994632.0,18.531369097328614,88.56159966675278,0.4959464222770532,4590,7690,8170,7930,7657.9212486697415
44,MARITIME SQUARE,5863209.0,17.649805763362693,85.95352817885221,0.4889502762430939,800,790,1380,680,20672.345679012345
45,MATILDA,6535063.0,15.242882891871126,86.94560404390897,0.4906130268199234,15640,17460,13630,5490,10311.905765179084
46,MEI CHIN,3386958.0,18.374393777543148,87.90498730719425,0.4723650385604113,2500,3870,4720,4490,9747.13065976714
